Review,Sentiment,Cleaned_Review,Sentiment_Label,Review_Length,Word_Count
So there is no way for me to plug it in here in the US unless I go by a converter.,0,so there is no way for me to plug it in here in the us unless i go by a converter,Negative,81,21
"Good case, Excellent value.",1,good case excellent value,Positive,25,4
Great for the jawbone.,1,great for the jawbone,Positive,21,4
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0,tied to charger for conversations lasting more than minutesmajor problems,Negative,73,10
The mic is great.,1,the mic is great,Positive,16,4
I have to jiggle the plug to get it to line up right to get decent volume.,0,i have to jiggle the plug to get it to line up right to get decent volume,Negative,73,17
"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0,if you have several dozen or several hundred contacts then imagine the fun of sending each of them one by one,Negative,109,21
If you are Razr owner...you must have this!,1,if you are razr owneryou must have this,Positive,39,8
"Needless to say, I wasted my money.",0,needless to say i wasted my money,Negative,33,7
What a waste of money and time!.,0,what a waste of money and time,Negative,30,7
And the sound quality is great.,1,and the sound quality is great,Positive,30,6
He was very impressed when going from the original battery to the extended battery.,1,he was very impressed when going from the original battery to the extended battery,Positive,82,14
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,0,if the two were seperated by a mere ft i started to notice excessive static and garbled sound from the headset,Negative,110,21
Very good quality though,1,very good quality though,Positive,24,4
"The design is very odd, as the ear ""clip"" is not very comfortable at all.",0,the design is very odd as the ear clip is not very comfortable at all,Negative,69,15
Highly recommend for any one who has a blue tooth phone.,1,highly recommend for any one who has a blue tooth phone,Positive,55,11
I advise EVERYONE DO NOT BE FOOLED!,0,i advise everyone do not be fooled,Negative,34,7
So Far So Good!.,1,so far so good,Positive,14,4
Works great!.,1,works great,Positive,11,2
It clicks into place in a way that makes you wonder how long that mechanism would last.,0,it clicks into place in a way that makes you wonder how long that mechanism would last,Negative,86,17
"I went on Motorola's website and followed all directions, but could not get it to pair again.",0,i went on motorolas website and followed all directions but could not get it to pair again,Negative,90,17
I bought this to use with my Kindle Fire and absolutely loved it!,1,i bought this to use with my kindle fire and absolutely loved it,Positive,64,13
The commercials are the most misleading.,0,the commercials are the most misleading,Negative,39,6
I have yet to run this new battery below two bars and that's three days without charging.,1,i have yet to run this new battery below two bars and thats three days without charging,Positive,87,17
I bought it for my mother and she had a problem with the battery.,0,i bought it for my mother and she had a problem with the battery,Negative,64,14
Great Pocket PC / phone combination.,1,great pocket pc phone combination,Positive,33,5
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,1,ive owned this phone for months now and can say that its the best mobile phone ive had,Positive,86,18
I didn't think that the instructions provided were helpful to me.,0,i didnt think that the instructions provided were helpful to me,Negative,63,11
